Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,dim_x,dim_y,dim_z
flatgelsight_gripper,mustard_bottle,40,0.5,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.1,"[-0.0, -0.01, 0.118]",1,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.1,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.3,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.3,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.5,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.5,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.1,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.1,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.3,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.3,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.5,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.5,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,large_clamp,200,0.1,"[-0.01, 0.02, 0.118]",9,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.1,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.3,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.3,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.5,"[-0.01, 0.02, 0.118]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.5,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,300,0.1,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,300,0.1,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,300,0.3,"[-0.01, 0.02, 0.118]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,300,0.3,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,300,0.5,"[-0.01, 0.02, 0.118]",0,0.120721,0.171667,0.039871
